"","x"
"148","RT @DanielUrresti1: Esta es la prueba más clara de q se  les viene la noche! Hasta hace poco se peleaban por ser su amigo, por salir en la…"
"149","@canalN_ @noticiAmerica Barata confirma que GyM si sabia de las coimas!!! https://t.co/pmuJ8231mE"
"150","@Hispantv @YouTube Mientras allá se protesta por llevar a la justicia a #Odebrecht, en #Ecuador la @FiscaliaEcuador… https://t.co/duSntR1EzR"
"151","@noticiAmerica que ella y sus amiguitos se autoeliminen para que disminuya la corrupción!"
"152","@noticiAmerica @PanamericanaTV @RPPNoticias @exitosape https://t.co/KTvlKIaTGv"
"153","RT @Emo_Galeno: @noticiAmerica Es una pena que el fujimorismo siga ensuciando nuestras instituciones con su sola presencia
#EstamosHartos
@…"
"154","RT @jimmybussol: ¿confidencialidad? Ahora la primicia las tendrá: Gorriti, IDL Rivera, Rodrich, RM Palacios, Ospina y toda la recata fila d…"
"155","@RPPNoticias @canalN_ @noticiAmerica BASURA FUE DESDE LA GUERRA CON CHILE QUE SE PUSO AL SERVICIO DEL INVASOR!!! https://t.co/j33EaRy9J5"
"156","@noticiAmerica Siempre es bueno leer antes de publicar"
"157","RT @jimmybussol: ¿confidencialidad? Ahora la primicia las tendrá: Gorriti, IDL Rivera, Rodrich, RM Palacios, Ospina y toda la recata fila d…"
"158","@noticiAmerica @meiermq El año pasado solo exportamos a Australia, $ 260 millones. Solo esa cifra habla del potenci… https://t.co/fNClMxHWpW"
"159","La conferencia se realizará durante el tercer trimestre del 2018 tras la reciente cita en Chile  https://t.co/DQKuVYk9lc"
"160","@osiasrg @jovenesconkeiko @RPPNoticiasPe @ExpresoPeru @noticiAmerica @Politica_ECpe @exitosape @larazon_pe… https://t.co/myAl7lGbR9"
"161","RT @cristofersancol: @noticiAmerica Jajaja...pero si su abogado no ah filtrado que están libres de polvo y paja...jajaj total, quién los en…"
"162","RT @JoseEstrellajos: @noticiAmerica Qué tal recontra súper duper Konchasa !!! Y los audios del Kontralor ?? Así @chechechacon representará…"
"163","RT @Emo_Galeno: @noticiAmerica Es una pena que el fujimorismo siga ensuciando nuestras instituciones con su sola presencia
#EstamosHartos
@…"
"164","@noticiAmerica Vamos vamos Italia <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9> a ganar 1-0"
"165","@noticiAmerica Chibolo en Política No sabe en que olla de grillos de ha metido"
"166","@noticiAmerica Vamos vamos Peru <ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00AA> a ganar 1-0<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"167","@noticiAmerica La internet ilimitada más cara tenemos pleno siglo XXI  pasa los S/100 fuera del bolsillo popular."
"168","RT @MininterPeru: @CarlosBasombrio @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo @peru21n…"
"169","@noticiAmerica ESO YA SE CONOCIA,Q EL DELINC AG ERA EL CABECILLA D LA ORGANIZ CRIMINAL LLAMADA APRA,EL DELINCUENTE,… https://t.co/sQtCZZ33BR"
"170","@noticiAmerica VAGOS DE MIERDAS PREOCUPEN SE X INFORMAR COSAS IMPORTANTES NO ESA HUEVADA DE PARTIDO QUE NO ME DA PL… https://t.co/8FTMO10KhH"
"171","@noticiAmerica Que pendex al final las empresas no son de su jefa, a ella directo......con la plata baila el mono"
"172","@canalN_ @atvmasnoticias @RPPNoticias @Politica_ECpe @larepublica_pe @noticiAmerica son del cartel mediatico con pe… https://t.co/Mx4kh0CiT4"
"173","RT @Emo_Galeno: @noticiAmerica Es una pena que el fujimorismo siga ensuciando nuestras instituciones con su sola presencia
#EstamosHartos
@…"
"174","RT @JoseEstrellajos: @noticiAmerica Qué tal recontra súper duper Konchasa !!! Y los audios del Kontralor ?? Así @chechechacon representará…"
"175","RT @cristofersancol: @noticiAmerica Jajaja...pero si su abogado no ah filtrado que están libres de polvo y paja...jajaj total, quién los en…"
"176","RT @gca190348: @noticiAmerica A qué le temen a que se sepa la verdad?"
"177","@noticiAmerica Según Mulder eso no tiene ninguna implicancia porque  Alan nunca lo nego. El lo que quiere es ver el… https://t.co/J7LaVI2cO5"
"178","@noticiAmerica Repútica Mermelero."
"179","RT @gca190348: @noticiAmerica A qué le temen a que se sepa la verdad?"
"180","RT @cristofersancol: @noticiAmerica Jajaja...pero si su abogado no ah filtrado que están libres de polvo y paja...jajaj total, quién los en…"
"181","RT @JoseEstrellajos: @noticiAmerica Qué tal recontra súper duper Konchasa !!! Y los audios del Kontralor ?? Así @chechechacon representará…"
"182","RT @Emo_Galeno: @noticiAmerica Es una pena que el fujimorismo siga ensuciando nuestras instituciones con su sola presencia
#EstamosHartos
@…"
"183","@noticiAmerica Paolo Paolo qué chucha será ese imbecil tanta laraca x  ese baboso"
"184","RT @TransportenLima: @MetropolitanoPT @ProtransportePT @SeleccionPeru @canalN_ @exitosape @RPPNoticias @atvmasnoticias @noticias_tvperu @Ca…"
"185","@noticiAmerica TANTA HUEVADA PARA ESE PARTIDO ASQUEROSO PERUANOS DE MIERDAS CONFORMISTAS VALLANSE A TRABAJAR YNO SE DEDIQUEN ENHUEVADAS"
"186","@noticiAmerica La mejor medida contra la corrupción sería q no haya un solo fujimorista en política."
"187","@noticiAmerica El descaro de lo dicho por  el asalariado del pueblo  eres la mascara"
"188","Comisión de Defensa del Consumidor también citará al presidente de Osiptel https://t.co/6Pymmcz46N"
"189","@noticiAmerica Es bueno ver la felicidad de los peruanos. Si esto se extendiera a la ciencia, las letras y a la cultura. Seriamos otro país."
"190","@noticiAmerica Muy bien , basta de impunidad y esas grandes empresas que manejan  los proyectos del país"
"191","@noticiAmerica Ningun medio periodistico se van a poner de acuerdo con la información, uno dicen SI otros NO, por l… https://t.co/dwGvx5BDRC"
